prop,acati,g_whoregion
0.0803998969403569,0-4,EMR
0.249797380589422,5-14,EMR
0.197911800332041,15-24,EMR
0.166253057882247,25-34,EMR
0.135253597633337,35-44,EMR
0.0846537919438875,45-54,EMR
0.0488152243034766,55-64,EMR
0.0369152503752314,65+,EMR
0.0952696908412305,0-4,AFR
0.300525578076451,5-14,AFR
0.200313776047899,15-24,AFR
0.141634079811929,25-34,AFR
0.113957773946738,35-44,AFR
0.0727948685665196,45-54,AFR
0.041615439932319,55-64,AFR
0.0338887927769154,65+,AFR
0.0486181764894219,0-4,EUR
0.166825041117885,5-14,EUR
0.156319827183381,15-24,EUR
0.162571662084148,25-34,EUR
0.170094585091633,35-44,EUR
0.132960329779969,45-54,EUR
0.089958041104575,55-64,EUR
0.0726523371489863,65+,EUR
0.0531535073299538,0-4,AMR
0.191953666886024,5-14,AMR
0.186715311221961,15-24,AMR
0.165386468605899,25-34,AMR
0.154905158853796,35-44,AMR
0.116181717258059,45-54,AMR
0.0742806483229543,55-64,AMR
0.0574235215213531,65+,AMR
0.0570929261531748,0-4,SEA
0.211256288900939,5-14,SEA
0.204224179487401,15-24,SEA
0.171956415835132,25-34,SEA
0.14867810510122,35-44,SEA
0.10266367512887,45-54,SEA
0.0605662295576863,55-64,SEA
0.0435621798355768,65+,SEA
0.0488661771932995,0-4,WPR
0.166895366216109,5-14,WPR
0.157941177019566,15-24,WPR
0.177056391381246,25-34,WPR
0.161764581142486,35-44,WPR
0.14509301801158,45-54,WPR
0.0832049079880208,55-64,WPR
0.0591783810476928,65+,WPR
